data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4845092,262,DJI97,97,2015-10-04,2015,1,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Alkarama Foundation,Other,"Arrests: Young members of the Union for National Salvation (USN) and the Opposition Youth Movement (MJO), as well as two USN leaders, were arbitrarily detained in Gabode prison following a first instance trial after having been arrested on 18 September for having participated in a demonstration. they were released on 11 October",0,1552577240,DJI
6306508,262,DJI96,96,2015-09-30,2015,1,Strategic developments,Arrests,FRUD: Front of the Restoration of Unity and Democracy,,2,Civilians (Djibouti),,7,27,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,2,RFI,International,"Arrests: FRUD militants burnt down three vehicles belonging to a road construction company near the town of Tadjura. 20 people have been arrested in connection tp this attack, including people suspected of being close to the group",0,1572403775,DJI
6306009,262,DJI95,95,2015-06-08,2015,2,Protests,Excessive force against protesters,Protesters (Djibouti),USN: Union for National Salvation,6,Police Forces of Djibouti (1999-),,1,16,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,RFI,International,There were protests in Djibouti led by the opposition Union for National Salvation party against a third term bid for the head of state. Police shot one of the protesters and later on arrested around 20 people.,0,1572403774,DJI
6306778,262,DJI94,94,2015-05-18,2015,3,Protests,Peaceful protest,Protesters (Djibouti),,6,,,0,60,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,RFI,International,The regime in Djibouti organized protests in support of the head of states fourth term bid,0,1572403775,DJI
4866672,262,DJI92,92,2014-12-08,2014,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),MJO: Opposition Youth Movement,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Africa News,Regional,The President and the Spokesman for Mouvement des Jeunes de lopposition were arrested in their homes and beaten by police. They were denied access to a lawyer or doctor and placed in Gabode prison until one was released Dec 14th.,0,1552577396,DJI
6248873,262,DJI91,91,2014-08-27,2014,1,Strategic developments,Agreement,Government of Djibouti (1999-),,1,Civilians (Djibouti),USN: Union for National Salvation,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Al-Wahda,International,Agreement: Government releases opposition MPs who were arrested in February.,0,1572403696,DJI
6304081,262,DJI90,90,2014-08-26,2014,1,Violence against civilians,Attack,Military Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Radio Dalsan,Regional,"Djibouti Republican Guard has suddenly opened fire today at the Djibouti International Airport, injuring two people, including a senior officer.",0,1572403772,DJI
4873730,262,DJI89,89,2014-08-15,2014,3,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),Journalists (Djibouti),7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,CIVICUS,Other,"In August 2014, journalist Mohamed Ibrahim Waiss was arrested and detained, in Djibouti City, and accused of 'incitement and publishing false news.' According to the Committee to Protect Journalists, he was beaten and denied access to medical treatment while detained at Hodan Balbala Police Station",0,1552577410,DJI
6248800,262,DJI86,86,2014-08-11,2014,1,Battles,Armed clash,Military Forces of Djibouti (1999-),,1,FRUD: Front of the Restoration of Unity and Democracy,,2,12,Eastern Africa,Djibouti,Tadjourah,Randa,,Assau Guera,11.8,42.6833,1,Al Wahdah,International,A battle between Front of the Restoration of Unity and Democracy (FRUD) and the army leaves 5 soldiers dead and 7 wounded.,2,1572403696,DJI
6248802,262,DJI88,88,2014-08-11,2014,1,Battles,Armed clash,Military Forces of Djibouti (1999-),,1,FRUD: Front of the Restoration of Unity and Democracy,,2,12,Eastern Africa,Djibouti,Tadjourah,Randa,,Dissay,11.8219,42.6514,1,Al Wahdah,International,A battle between Front of the Restoration of Unity and Democracy (FRUD) and the army leaves 5 soldiers dead and 7 wounded.,1,1572403696,DJI
